locality_name,uuid,city_name
Qutab Enclave,d0b6f6861e003f7502cc,Delhi
Sector 29,4ae63435ea957f9a7891,Pune
Ravalkole,c58bcb52a2da1e757964,Hyderabad
"Sector 26A, Greater Noida",83d586a30f9ebab2db09,Noida
Dabaspete,b5cf92bdc20cd1011177,Bengaluru
Uttarbhag,33a3ac2e3d2e4b7cb441,Kolkata
Karunakaracheri,ef06c0abf7a7f8996991,Chennai
Nanekarwadi,2572caa3ab8c636df757,Pune
Shalimar,f042ab12fb3896954c6b,Kolkata
Kalwa,cf2ba974030b166d405e,Mumbai
Picnic Garden,ee2717f50ad314e708d6,Kolkata
Sevlimedu,7a2e10ef58c1c8f176da,Chennai
Tri Nagar,6642d05fcc86a539ed18,Delhi
Paud,90fad8dd41d1f10c3903,Pune
Kaggalipura,c4678c1fc2847c5655fc,Bengaluru
West Tambaram,8f5e63e11ef47c19ecfc,Chennai
Mappedu,0927e618583f4dd62a5d,Chennai
Noapara,951b1fcacdf20dfa166a,Kolkata
Kabardanga,e3633d6721e630ef282c,Kolkata
Anchemuskur,746aa4b70cda551cbf88,Bengaluru
Cholanayakanahalli,c9524bcc0a26f76be194,Bengaluru
Mayaganahalli,6c0f124f78af57d87f6e,Bengaluru
Kuntloor,deb23f0d67ba9a7eeff2,Hyderabad
Krishnanagar,01640e033a0a8143c069,Kolkata
Vardoli,a0fb4a02a0b33f80c8ae,Mumbai
Talbanda,9958d5b93844fa10511f,Kolkata
Bommalaramaram,e0da26950190e7a2cb79,Hyderabad
Sadiq Nagar,343515a295ead8a61a44,Delhi
Moghalpura,381b9416a74a96c85d2a,Hyderabad
Baithakkhana,23f5dd2ab5393cb3fb9a,Kolkata
Jagadgiri Gutta,cffcc4f63376ef9f447c,Hyderabad
Padarayana Pura,0a472048374d717440a3,Bengaluru
Sardar Colony,914fad9c6b9a793a8530,Ahmedabad
Dongare,0d659e7ff7708e93c97d,Mumbai
Sakhroli,e8aba906f578dac94474,Mumbai
Chak Kanthalia,c0d239300719b6093667,Kolkata
Shivaji Place,a5170b96006c3560db62,Delhi
Rajakrishnapura,5f37458fabf4693db621,Bengaluru
Jubilee Hills,b667ac56b48ba4f057bd,Hyderabad
Lado Sarai,850bdcb13eb86e59a01b,Delhi
Patel Nagar,25a98721e5c380c28cf8,Delhi
Dabri,5f8caf6ee4722e7873d5,Delhi
Veppampattu,97a8fec9f7950e4016f6,Chennai
Tharapakkam,711148f9f299268c69e3,Chennai
Kovur,d4ab01973530e03c9b73,Chennai
Kothanur,1f7e7d6f203a8d99ec50,Bengaluru
K Channasandra,47f70df2fef77c4ea145,Bengaluru
Vyasarpadi,e0da5f5aeb2d5fe657e0,Chennai
Nangainallur,511c2de991e2d5d42cac,Chennai
Bhivpuri,a32eeebdbe9041980be8,Mumbai
Bulandshahr Road Industrial Area,f4df3763be9567e7bb8a,Ghaziabad
Babarpur,155410656365bff837c8,Delhi
Gangondanahalli,581888ea2ee59647562f,Bengaluru
Doddabele,94899fdddcdf4c4551e2,Bengaluru
Moti Bagh,f62b12d0534c907061c1,Delhi
Devara Jeevanahalli,3c7c402f08da0d1ba8e4,Bengaluru
Gokhalenagar,4566411a4537d695bc37,Pune
Voderahalli,8af149803056a7218352,Bengaluru
Rabindra Nagar,acf242d96a1d7702cf42,Delhi
Nayur,39902c562f830fb39d5f,Chennai
Jayanpur,58d03284377cfc76e575,Kolkata
Tiretti,568fee76d212779e629a,Kolkata
Patel Nagar,25a98721e5c380c28cf8,Chennai
Shahid Nagar,77b7c985d5a6ea6d39af,Ghaziabad
Nagaram,60646a3fa1436a4b142d,Hyderabad
Benson Town,e077c873815049e38b5b,Bengaluru
Dammaiguda,e28bfc77220cde85198f,Hyderabad
Matiala,0c99996caa934f5d0118,Delhi
Sampigehalli,f40613a31b34a5cab46e,Bengaluru
Jogeshwari East,c3cc19697452de764104,Mumbai
Oragadam,61996eee7817b1003a47,Chennai
Anna Nagar,3531cfad8f36f9710b89,Chennai
Cherlapalli,ba24da3157cd6af2b4c1,Hyderabad
Kishan Ganj,dd7f758ae078a347731a,Delhi
University Enclave,50c3f81e7e4e71992496,Delhi
Pattipulam,2d07a9724930d38521bd,Chennai
Ullagaram,a9acd65c51b9a990d0a7,Chennai
Molarband Extension,7d853c43007c00a7c64f,Delhi
Nayanahalli,84a9ee39323cb37eba9f,Bengaluru
Shirdhon,34c8bbebaa8f6ddeb019,Mumbai
Harshaguda,cdc7d62000acce07572e,Hyderabad
Angaon,4b07c8624a9758724731,Mumbai
Nungambakkam,340c59f6f4c193d5840b,Chennai
Handewadi,cba8f7069578681f0bc6,Pune
Bhosari,1dd1bf8229ff10f4ebb2,Pune
Ghitorni,9ccec98ea07c105ca41c,Delhi
Anushakti Nagar,43a07d147abc7cedd412,Mumbai
Kannathur Reddy Kuppam,91a0a340e28fe692d715,Chennai
Korattur,3f1536a77734a255317c,Chennai
Taratala,b5010422262907e2fa4d,Kolkata
Shantigram,ea3306e1f8d1949bd449,Ahmedabad
Annojiguda,a2d428de0d9cb65e3c17,Hyderabad
Zaheerabad,cd6c7f52f6ae63526d22,Hyderabad
Anand Niketan,92d11a64676a6fb5c3a2,Delhi
Ruiya,9bd1ffd9dce82d27ebf2,Kolkata
Rajpur,742d772221209301bafb,Delhi
Adarsh Nagar,90abd948cf362048d5db,Hyderabad
Chi V,4e432e0102fb36cea1c1,Noida
Chowbaga,c9ad4ef0e5d60816c79c,Kolkata
Chikka Tirupathi,8f50eb213478eefaa0c5,Bengaluru
Kamathipura,75e76c99eaeef2bdf8f9,Mumbai
Rampura,365b99c54875f987eaff,Bengaluru
Unamancheri R.F.,c27aab68ed989c6ff10e,Chennai
Bopgaon,9a329a7606a4ffc7bdc2,Pune
Banahalli,0bece36893cc1952c378,Bengaluru
Kayar R.F.,b98b8b24b0a75fb8300d,Chennai
Bara Gagan Gohalia,9192ed26b44eeade6a16,Kolkata
Sangrun,dd3ccfef2d4875d84acf,Pune
Sector 47,25c1c719ad25fbff8284,Gurgaon
Ballygunge,0559d5dca19208b8b868,Kolkata
Paschim Putiary,7398bd651e0bb8127a32,Kolkata
Hatkhola,3c9193ecce67b05ff2d4,Kolkata
Phase 2,32aea7f8e5b029e7aa78,Noida
Sanjay Nagar,fd52672032ea48f3ea71,Ghaziabad
Motilal Nehru Marg Area,d144eb1e593ea04adfc7,Noida
Delhi Cantonment,fa2aaf83e0a9a52b842b,Delhi
Sikanderpur Ghosi,809248a47953cd250210,Gurgaon
Champahati,a9b5aef82d1e4aacf406,Kolkata
Sector 52A,3b6825fb734eff6e3d03,Gurgaon
Kolanupaka,fac89f5e57e543ff1e3c,Hyderabad
Sector 55,dfbeec6cdb0badc77e8b,Noida
Valathancheri,530eda8c20223c60a9bd,Chennai
Kadumuthsandra Plantation,55cb5f126b02e4c5c34f,Bengaluru
Melkalvoy,2ec09f0aebc447ad0934,Chennai
Dattawadi,7c593f3e8a7be470fb26,Pune
Garia,760be4e8e55bde9392a0,Kolkata
DLF Phase 5,0ff6cd71f8971c93bc75,Gurgaon
Tollygunge,ee6810a7fa622dd147b3,Kolkata
